2015-03-25 10:21 Valid username/password submit  SUCCESS HIGH 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
2015-03-25 10:21 User supplied input was encoded  SUCCESS NULL 127.0.0.1
